country,date,total_vaccinations,daily_vaccinations,tavg
Denmark,2021-03-11,786601.0,17364.0,3.4
Denmark,2021-03-11,786601.0,17364.0,4.8
Denmark,2021-03-12,800295.0,16170.0,4.3
Denmark,2021-03-12,800295.0,16170.0,4.7
Denmark,2021-03-13,810587.0,15018.0,4.2
Denmark,2021-03-13,810587.0,15018.0,3.4
Denmark,2021-03-14,821041.0,14214.0,3.6
Denmark,2021-03-14,821041.0,14214.0,4.1
Denmark,2021-03-15,833537.0,13739.0,3.4
Denmark,2021-03-15,833537.0,13739.0,3.8
Denmark,2021-03-16,849591.0,13482.0,3.1
Denmark,2021-03-16,849591.0,13482.0,2.6
Denmark,2021-03-17,869246.0,13568.0,1.9
Denmark,2021-03-17,869246.0,13568.0,3.1
Denmark,2021-03-18,890954.0,14908.0,1.2
Denmark,2021-03-18,890954.0,14908.0,1.7
Denmark,2021-03-19,910339.0,15721.0,0.0
Denmark,2021-03-19,910339.0,15721.0,1.9
Denmark,2021-03-20,918043.0,15351.0,1.9
Denmark,2021-03-20,918043.0,15351.0,5.4
Denmark,2021-03-21,927584.0,15220.0,5.4
Denmark,2021-03-21,927584.0,15220.0,5.4
Denmark,2021-03-22,939334.0,15114.0,3.2
Denmark,2021-03-22,939334.0,15114.0,4.8
Denmark,2021-03-23,952906.0,14759.0,4.3
Denmark,2021-03-23,952906.0,14759.0,5.8
Denmark,2021-03-24,975981.0,15248.0,4.7
Denmark,2021-03-24,975981.0,15248.0,7.3
Denmark,2021-03-25,991998.0,14435.0,3.9
Denmark,2021-03-25,991998.0,14435.0,6.4
Denmark,2021-03-26,1005897.0,13651.0,5.4
Denmark,2021-03-26,1005897.0,13651.0,7.7
Denmark,2021-03-27,1018897.0,14408.0,5.6
Denmark,2021-03-27,1018897.0,14408.0,5.8
Denmark,2021-03-28,1032407.0,14975.0,5.0
Denmark,2021-03-28,1032407.0,14975.0,6.4
Denmark,2021-03-29,1056442.0,16730.0,6.2
Denmark,2021-03-29,1056442.0,16730.0,8.8
Denmark,2021-03-30,1083959.0,18722.0,7.0
Denmark,2021-03-30,1083959.0,18722.0,10.3
Denmark,2021-03-31,1106627.0,18664.0,6.1
Denmark,2021-03-31,1106627.0,18664.0,8.9
Denmark,2021-04-01,1117707.0,17958.0,4.6
Denmark,2021-04-01,1117707.0,17958.0,6.4
Denmark,2021-04-02,1129541.0,17663.0,4.4
Denmark,2021-04-02,1129541.0,17663.0,6.3
Denmark,2021-04-03,1143787.0,17841.0,4.4
Denmark,2021-04-03,1143787.0,17841.0,4.7
Denmark,2021-04-04,1157201.0,17828.0,4.7
Denmark,2021-04-04,1157201.0,17828.0,6.1
Denmark,2021-04-05,1170798.0,16337.0,2.9
Denmark,2021-04-05,1170798.0,16337.0,3.6
Denmark,2021-04-06,1192820.0,15552.0,3.7
Denmark,2021-04-06,1192820.0,15552.0,4.1
Denmark,2021-04-07,1217581.0,15851.0,4.3
Denmark,2021-04-07,1217581.0,15851.0,3.6
Denmark,2021-04-08,1239810.0,17443.0,4.8
Denmark,2021-04-08,1239810.0,17443.0,3.8
Denmark,2021-04-09,1264871.0,19333.0,5.0
Denmark,2021-04-09,1264871.0,19333.0,5.1
Denmark,2021-04-10,1287017.0,20461.0,4.2
Denmark,2021-04-10,1287017.0,20461.0,4.1
Denmark,2021-04-11,1305789.0,21227.0,6.4
Denmark,2021-04-11,1305789.0,21227.0,1.3
Denmark,2021-04-12,1411127.0,34333.0,4.9
Denmark,2021-04-12,1411127.0,34333.0,3.8
Denmark,2021-04-13,1435836.0,34717.0,4.8
Denmark,2021-04-13,1435836.0,34717.0,4.2
Denmark,2021-04-14,1458396.0,34402.0,3.8
Denmark,2021-04-14,1458396.0,34402.0,4.6
Denmark,2021-04-15,1482761.0,34707.0,5.0
Denmark,2021-04-15,1482761.0,34707.0,5.3
Denmark,2021-04-16,1508296.0,34775.0,6.1
Denmark,2021-04-16,1508296.0,34775.0,5.8
Denmark,2021-04-17,1529794.0,34682.0,9.6
Denmark,2021-04-17,1529794.0,34682.0,7.0
Denmark,2021-04-18,1549405.0,34802.0,11.5
Denmark,2021-04-18,1549405.0,34802.0,7.8
Denmark,2021-04-19,1588554.0,25347.0,11.3
Denmark,2021-04-19,1588554.0,25347.0,8.4
Denmark,2021-04-20,1627447.0,27373.0,10.0
Denmark,2021-04-20,1627447.0,27373.0,7.7
Denmark,2021-04-21,1662654.0,29180.0,7.7
Denmark,2021-04-21,1662654.0,29180.0,6.4
Denmark,2021-04-22,1696261.0,30500.0,7.6
Denmark,2021-04-22,1696261.0,30500.0,6.7
Denmark,2021-04-23,1729601.0,31615.0,6.7
Denmark,2021-04-23,1729601.0,31615.0,7.1
Denmark,2021-04-24,1752073.0,31754.0,5.2
Denmark,2021-04-24,1752073.0,31754.0,6.2
Denmark,2021-04-25,1772547.0,31877.0,4.4
Denmark,2021-04-25,1772547.0,31877.0,5.2
Denmark,2021-04-26,1811857.0,31900.0,4.9
Denmark,2021-04-26,1811857.0,31900.0,4.7
Denmark,2021-04-27,1859255.0,33115.0,5.2
Denmark,2021-04-27,1859255.0,33115.0,5.2
Denmark,2021-04-28,1903867.0,34459.0,6.2
Denmark,2021-04-28,1903867.0,34459.0,7.1
Denmark,2021-04-29,1947661.0,35914.0,8.1
Denmark,2021-04-29,1947661.0,35914.0,7.9
Denmark,2021-04-30,1965050.0,33636.0,7.9
Denmark,2021-04-30,1965050.0,33636.0,5.9
Denmark,2021-05-01,1978477.0,32343.0,6.7
Denmark,2021-05-01,1978477.0,32343.0,6.6
Denmark,2021-05-02,2008900.0,33765.0,8.4
Denmark,2021-05-02,2008900.0,33765.0,6.8
Denmark,2021-05-03,2074988.0,37590.0,6.8
Denmark,2021-05-03,2074988.0,37590.0,5.6
Denmark,2021-05-04,2127365.0,38301.0,6.8
Denmark,2021-05-04,2127365.0,38301.0,7.0
Denmark,2021-05-05,2183388.0,39932.0,6.2
Denmark,2021-05-05,2183388.0,39932.0,6.9
Denmark,2021-05-06,2230453.0,40399.0,4.9
Denmark,2021-05-06,2230453.0,40399.0,6.4
Denmark,2021-05-07,2271505.0,43779.0,5.9
Denmark,2021-05-07,2271505.0,43779.0,6.3
Denmark,2021-05-08,2311771.0,47613.0,8.4
Denmark,2021-05-08,2311771.0,47613.0,7.1
Denmark,2021-05-09,2344368.0,47924.0,13.0
Denmark,2021-05-09,2344368.0,47924.0,10.7
Denmark,2021-05-10,2407026.0,47434.0,14.9
Denmark,2021-05-10,2407026.0,47434.0,15.6
Denmark,2021-05-11,2462952.0,47941.0,11.6
Denmark,2021-05-11,2462952.0,47941.0,19.1
Denmark,2021-05-12,2516093.0,47529.0,10.8
Denmark,2021-05-12,2516093.0,47529.0,9.9
Denmark,2021-05-13,2555464.0,46430.0,11.3
Denmark,2021-05-13,2555464.0,46430.0,10.6
Denmark,2021-05-14,2606811.0,47901.0,11.8
Denmark,2021-05-14,2606811.0,47901.0,11.4
Denmark,2021-05-15,2641662.0,47127.0,9.1
Denmark,2021-05-15,2641662.0,47127.0,9.1
Denmark,2021-05-16,2675697.0,47333.0,9.8
Denmark,2021-05-16,2675697.0,47333.0,11.1
Denmark,2021-05-17,2736853.0,47118.0,10.1
Denmark,2021-05-17,2736853.0,47118.0,10.8
Denmark,2021-05-18,2797188.0,47748.0,10.9
Denmark,2021-05-18,2797188.0,47748.0,10.3
Denmark,2021-05-19,2851537.0,47921.0,10.1
Denmark,2021-05-19,2851537.0,47921.0,10.2
Denmark,2021-05-20,2906326.0,50123.0,10.0
Denmark,2021-05-20,2906326.0,50123.0,10.1
Denmark,2021-05-21,2936637.0,47118.0,10.2
Denmark,2021-05-21,2936637.0,47118.0,10.2
Denmark,2021-05-22,3025072.0,54773.0,11.2
Denmark,2021-05-22,3025072.0,54773.0,11.1
Denmark,2021-05-23,3053754.0,54008.0,9.7
Denmark,2021-05-23,3053754.0,54008.0,10.3
Denmark,2021-05-24,3086841.0,49998.0,10.6
Denmark,2021-05-24,3086841.0,49998.0,12.7
Denmark,2021-05-25,3142500.0,49330.0,11.7
Denmark,2021-05-25,3142500.0,49330.0,11.4
Denmark,2021-05-26,3202272.0,50105.0,10.6
Denmark,2021-05-26,3202272.0,50105.0,9.8
Denmark,2021-05-27,3263722.0,51057.0,11.1
Denmark,2021-05-27,3263722.0,51057.0,10.7
Denmark,2021-05-28,3314281.0,53949.0,10.6
Denmark,2021-05-28,3314281.0,53949.0,11.4
Denmark,2021-05-29,,43786.0,13.5
Denmark,2021-05-29,,43786.0,12.3
Denmark,2021-05-30,3348871.0,42160.0,14.6
Denmark,2021-05-30,3348871.0,42160.0,10.9
Denmark,2021-05-31,3438466.0,50232.0,12.8
Denmark,2021-05-31,3438466.0,50232.0,12.3
Denmark,2021-06-01,3495075.0,50368.0,14.3
Denmark,2021-06-01,3495075.0,50368.0,13.7
Denmark,2021-06-02,3554231.0,50280.0,14.4
Denmark,2021-06-02,3554231.0,50280.0,15.1
Denmark,2021-06-03,3612098.0,49768.0,16.1
Denmark,2021-06-03,3612098.0,49768.0,17.4
Denmark,2021-06-04,,46362.0,17.1
Denmark,2021-06-04,,46362.0,17.3
Denmark,2021-06-05,3665526.0,47707.0,17.9
Denmark,2021-06-05,3665526.0,47707.0,17.9
Denmark,2021-06-06,3749225.0,57193.0,17.2
Denmark,2021-06-06,3749225.0,57193.0,15.7
Denmark,2021-06-07,3820991.0,54646.0,15.7
Denmark,2021-06-07,3820991.0,54646.0,16.6
Denmark,2021-06-08,3896573.0,57357.0,15.8
Denmark,2021-06-08,3896573.0,57357.0,16.9
Denmark,2021-06-09,3972034.0,59686.0,16.3
Denmark,2021-06-09,3972034.0,59686.0,16.6
Denmark,2021-06-10,4045284.0,61884.0,17.9
Denmark,2021-06-10,4045284.0,61884.0,16.8
Denmark,2021-06-11,4109035.0,67175.0,17.5
Denmark,2021-06-11,4109035.0,67175.0,18.0
Denmark,2021-06-12,,66486.0,14.1
Denmark,2021-06-12,,66486.0,16.2
Denmark,2021-06-13,4152819.0,57656.0,14.8
Denmark,2021-06-13,4152819.0,57656.0,14.7
Denmark,2021-06-14,4267769.0,63825.0,15.7
Denmark,2021-06-14,4267769.0,63825.0,15.1
Denmark,2021-06-15,4345062.0,64070.0,13.7
Denmark,2021-06-15,4345062.0,64070.0,15.2
Denmark,2021-06-16,,59210.0,15.3
Denmark,2021-06-16,,59210.0,14.7
Denmark,2021-06-17,4427939.0,54665.0,21.2
Denmark,2021-06-17,4427939.0,54665.0,20.8
Denmark,2021-06-18,,54573.0,18.3
Denmark,2021-06-18,,54573.0,23.6
Denmark,2021-06-19,4554158.0,60462.0,18.7
Denmark,2021-06-19,4554158.0,60462.0,24.4
Denmark,2021-06-20,4611850.0,65576.0,15.9
Denmark,2021-06-20,4611850.0,65576.0,23.4
Denmark,2021-06-21,4703566.0,62257.0,13.9
Denmark,2021-06-21,4703566.0,62257.0,20.5
Denmark,2021-06-22,4776243.0,61597.0,15.3
Denmark,2021-06-22,4776243.0,61597.0,17.1
Denmark,2021-06-23,4846625.0,65732.0,15.7
Denmark,2021-06-23,4846625.0,65732.0,17.1
Denmark,2021-06-24,4913766.0,69404.0,15.4
Denmark,2021-06-24,4913766.0,69404.0,16.9
Denmark,2021-06-25,4975336.0,69184.0,15.3
Denmark,2021-06-25,4975336.0,69184.0,17.4
Denmark,2021-06-26,5016668.0,66073.0,15.3
Denmark,2021-06-26,5016668.0,66073.0,17.8
Denmark,2021-06-27,5056765.0,63559.0,15.3
Denmark,2021-06-27,5056765.0,63559.0,17.7
Denmark,2021-06-28,5120632.0,59581.0,15.4
Denmark,2021-06-28,5120632.0,59581.0,17.7
Denmark,2021-06-29,5192820.0,59511.0,15.1
Denmark,2021-06-29,5192820.0,59511.0,20.6
Denmark,2021-06-30,5263677.0,59579.0,17.5
Denmark,2021-06-30,5263677.0,59579.0,20.6
Denmark,2021-07-01,5335577.0,60259.0,17.3
Denmark,2021-07-01,5335577.0,60259.0,17.7
Denmark,2021-07-02,5398716.0,60483.0,19.8
Denmark,2021-07-02,5398716.0,60483.0,17.7
Denmark,2021-07-03,5442863.0,60885.0,19.9
Denmark,2021-07-03,5442863.0,60885.0,18.8
Denmark,2021-07-04,5484919.0,61165.0,19.5
Denmark,2021-07-04,5484919.0,61165.0,19.0
Denmark,2021-07-05,5559851.0,62746.0,19.5
Denmark,2021-07-05,5559851.0,62746.0,20.0
Denmark,2021-07-06,,58365.0,17.2
Denmark,2021-07-06,,58365.0,20.5
Denmark,2021-07-07,5642905.0,54175.0,18.3
Denmark,2021-07-07,5642905.0,54175.0,18.9
Denmark,2021-07-08,5812028.0,68064.0,18.3
Denmark,2021-07-08,5812028.0,68064.0,18.6
Denmark,2021-07-09,5890105.0,70198.0,18.4
Denmark,2021-07-09,5890105.0,70198.0,19.1
Denmark,2021-07-10,5942561.0,71385.0,17.9
Denmark,2021-07-10,5942561.0,71385.0,18.2
Denmark,2021-07-11,5999248.0,73476.0,17.3
Denmark,2021-07-11,5999248.0,73476.0,19.7
Denmark,2021-07-12,,69169.0,19.3
Denmark,2021-07-12,,69169.0,20.8
Denmark,2021-07-13,6088821.0,69635.0,22.3
Denmark,2021-07-13,6088821.0,69635.0,22.4
Denmark,2021-07-14,6266892.0,89141.0,23.7
Denmark,2021-07-14,6266892.0,89141.0,24.4
Denmark,2021-07-15,,71141.0,21.5
Denmark,2021-07-15,,71141.0,20.6
Denmark,2021-07-16,6353144.0,66148.0,21.5
Denmark,2021-07-16,6353144.0,66148.0,22.4
Denmark,2021-07-17,6477508.0,76421.0,20.0
Denmark,2021-07-17,6477508.0,76421.0,22.3
Denmark,2021-07-18,,72210.0,16.9
Denmark,2021-07-18,,72210.0,20.1
Denmark,2021-07-19,6531932.0,69700.0,17.9
Denmark,2021-07-19,6531932.0,69700.0,18.9
Denmark,2021-07-20,6707916.0,88442.0,16.8
Denmark,2021-07-20,6707916.0,88442.0,18.5
Denmark,2021-07-21,6792878.0,75141.0,18.0
Denmark,2021-07-21,6792878.0,75141.0,18.8
Denmark,2021-07-22,6868767.0,79821.0,17.7
Denmark,2021-07-22,6868767.0,79821.0,18.3
Denmark,2021-07-23,6937158.0,83431.0,18.1
Denmark,2021-07-23,6937158.0,83431.0,18.2
Denmark,2021-07-24,,68628.0,20.1
Denmark,2021-07-24,,68628.0,20.1
Denmark,2021-07-25,6978645.0,67704.0,20.7
Denmark,2021-07-25,6978645.0,67704.0,22.4
Denmark,2021-07-26,7090073.0,79734.0,20.8
Denmark,2021-07-26,7090073.0,79734.0,23.4
Denmark,2021-07-27,,59434.0,19.6
Denmark,2021-07-27,,59434.0,21.1
Denmark,2021-07-28,7157842.0,52138.0,17.8
Denmark,2021-07-28,7157842.0,52138.0,21.1
